,Adults SCL,Adults SCL,Adults SCL,Adults SCL,Adults OK,Adults OK,Adults OK,Adults OK,Adults NW,Adults NW,Adults NW,Adults NW,Children SCL,Children SCL,Children SCL,Children SCL,Children OK,Children OK,Children OK,Children OK,Children NW,Children NW,Children NW,Children NW
Protein Grouping Ambiguity,L06,L28,L11,L35,L26,L15,L20,L21,L36,L07,L24,L31,L48,L42,L25,L47,L22,L44,L16,L17,L12,L18,L23,L32
TRUE,54.7,18.468,124.03,81.442,55.037,7.2314,112.31,66.145,32.381,32.021,19.942,116.89,119.45,104.22,23.205,34.419,68.171,16.118,9.8611,20.253,9.7606,72.258,40.334,14.902
TRUE,60.902,22.473,144.84,95.518,63.142,7.196,121.3,70.109,36.725,38.969,23.523,139.16,143.19,123.71,26.804,40.935,74.251,18.401,12.199,23.573,10.917,86.487,45.475,17.28
TRUE,59.662,20.116,130.8,88.265,57.586,7.5423,119.42,70.885,33.969,34.995,20.988,120.04,124.81,107.51,26.018,36.526,72.844,17.479,12.11,22.52,10.828,73.603,42.363,16.623
TRUE,41.578,14.42,93.639,64.717,40.722,5.3117,67.307,45.195,23.689,24.783,15.234,91.845,97.123,85.24,20.226,27.696,44.473,13.54,9.0839,15.585,7.2015,51.95,31.746,12.385
,112,243,111,83,274,23,50,61,100,309,128,157,115,85,79,428,160,142,146,177,128,230,115,152
TRUE,117.22,167.35,77.076,49.82,264.01,74.137,85.44,111.46,63.931,287.44,83.737,77.096,45.164,60.931,163.23,136.83,146.3,157.32,149.34,102.98,229.5,142.13,40.612,122.76
TRUE,0,0,0,0,0,0,45.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,125.81,195.69,103.66,53.129,286.17,52.496,71.689,125.41,106.44,139.97,114.62,96.056,47.936,55.927,135.59,148.96,130.2,144.18,159.14,136.79,138.97,82.679,119.04,161.95
TRUE,27.216,0,30.85,29.385,0,0,27.412,17.351,0,0,0,0,0,0,21.545,0,23.948,23.299,0,0,16.589,0,0,0
TRUE,0,0,0,0,0,20.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,65.623,85,55,17,89.623,30.491,133.47,112.57,30,186.62,134,36,3,36,100,126,179.62,170,177,168.62,136.62,88,43,181
TRUE,44.206,23.996,48.035,44.708,71.625,24.91,45.862,30.085,27.807,47.483,47.365,61.433,62.996,29.296,34.65,34.706,38.674,37.182,19.411,35.2,25.327,36.729,65.796,44.114
TRUE,20.132,13.356,26.401,0,44.199,14.284,23.427,0,0,26.703,25.95,35.644,34.368,0,0,0,19.495,18.716,0,18.286,12.834,21.286,31.741,23.414
TRUE,43.865,21.933,43.771,35.788,78.029,28.463,37.164,25.822,24.01,43.489,45.302,58.533,55.268,25.01,37.6,35.335,46.224,39.788,25.745,39.429,32.446,37.147,63.627,45.396
TRUE,0,26.067,52.229,46.212,86.971,33.537,42.836,34.178,31.99,53.511,55.698,70.467,67.732,28.99,46.4,43.665,51.776,46.212,26.255,41.571,35.554,45.853,68.373,54.605
TRUE,0,0,0,0,0,0,0,0,0,26.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,9.9066,0,13.615,8.8961,0,0,8.0654,0,0,0,0,0,0,0,0,0,7.1283,8.9495,4.6866,0,0,0,11.291,8.1784
TRUE,32.028,18.148,45.571,31.305,116.16,9.8322,16.683,13.668,23.9,86.901,53.26,59.298,0,21.864,0,0,47.554,29.884,25.646,35.882,30.483,46.264,22.569,37.014
TRUE,0,0,0,0,0,6.4383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,15.924,40.848,23.035,11.33,48.54,0,26.027,17.846,15.937,4.1036,9.4204,10.885,0,15.871,24.35,25.537,23.859,5.5621,29.64,23.195,31.163,14.233,24.827,24.177
TRUE,18.437,41.443,23.033,12.406,52.056,0,29.5,19.542,17.451,4.4935,12.315,10.824,0,17.379,27.663,28.963,26.126,6.0905,32.456,24.304,31.933,15.586,27.186,25.378
,33,52,68,60,175,3,32,47,20,142,49,63,46,25,37,58,57,61,47,31,45,81,29,96
,56,36,66,50,131,13,50,49,30,78,43,50,21,23,34,29,75,51,44,54,47,45,20,65
TRUE,24.105,15.11,61.733,50.562,12.347,0,49.035,30.572,49.974,8.819,29.397,50.562,58.205,48.798,5.8793,25.869,44.683,9.9948,10.583,18.814,6.4672,35.864,35.1,12.934
TRUE,16.895,9.8896,43.267,35.438,8.6534,0,35.965,22.428,35.026,6.181,20.603,35.438,40.795,34.202,4.1207,18.131,31.317,7.0052,7.4172,13.186,4.5328,25.136,23.9,9.0655
TRUE,45.689,22.182,29.427,19.5,97.543,19.904,20.137,19.862,25.111,60.877,32.999,37.856,28.306,18.183,33.535,25.018,94.257,53.772,35.945,39.112,64.07,78.66,30.5,39.751
TRUE,38.166,7.7545,39.722,20.603,36.392,12.078,20.032,10.142,13.36,26.876,18.311,33.788,36.488,11.783,14.631,19.917,19.931,17.872,10.351,18.732,5.9728,19.12,18.793,28.378
TRUE,11.605,3.6365,24.432,8.2337,40.101,6.7338,7.0931,0,5.4456,19.375,7.3515,29.157,12.73,5.1872,5.9351,0,0,0,0,0,0,10.087,8.8857,9.4136
TRUE,0,0,0,6.7575,11.114,9.9364,14.784,8.6586,0,0,5.3255,0,8.3367,6.2202,4.8996,0,5.4721,4.0112,0,3.5335,0,0,0,0
